"WorkID","Series","Position","DisplayName","FileName","RelativePath","FullPath","SizeKB"
"RE-011557","Ron English's Area 54 - Cards / Packs","1","1 Orion","Area 54 Cards - 1 - Orion.jpg","images/Area 54 Cards - 1 - Orion.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 1 - Orion.jpg","2573.1"
"RE-011558","Ron English's Area 54 - Cards / Packs","2","10 Wingman Miller","Area 54 Cards - 10 - Wingman Miller.jpg","images/Area 54 Cards - 10 - Wingman Miller.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 10 - Wingman Miller.jpg","3272.2"
"RE-011559","Ron English's Area 54 - Cards / Packs","3","100 Cosmo Titian","Area 54 Cards - 100 - Cosmo Titian.jpg","images/Area 54 Cards - 100 - Cosmo Titian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 100 - Cosmo Titian.jpg","3304.7"
"RE-011560","Ron English's Area 54 - Cards / Packs","4","101 Cosmo Titian","Area 54 Cards - 101 - Cosmo Titian.jpg","images/Area 54 Cards - 101 - Cosmo Titian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 101 - Cosmo Titian.jpg","3353.7"
"RE-011561","Ron English's Area 54 - Cards / Packs","5","102 Cosmo Titian","Area 54 Cards - 102 - Cosmo Titian.jpg","images/Area 54 Cards - 102 - Cosmo Titian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 102 - Cosmo Titian.jpg","3450.6"
"RE-011562","Ron English's Area 54 - Cards / Packs","6","103 Cosmo Titian","Area 54 Cards - 103 - Cosmo Titian.jpg","images/Area 54 Cards - 103 - Cosmo Titian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 103 - Cosmo Titian.jpg","3140.5"
"RE-011563","Ron English's Area 54 - Cards / Packs","7","104 Cosmo Titian","Area 54 Cards - 104 - Cosmo Titian.jpg","images/Area 54 Cards - 104 - Cosmo Titian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 104 - Cosmo Titian.jpg","3895.3"
"RE-011564","Ron English's Area 54 - Cards / Packs","8","105 Cosmo Titian","Area 54 Cards - 105 - Cosmo Titian.jpg","images/Area 54 Cards - 105 - Cosmo Titian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 105 - Cosmo Titian.jpg","3237.4"
"RE-011565","Ron English's Area 54 - Cards / Packs","9","106 Cosmo Titian","Area 54 Cards - 106 - Cosmo Titian.jpg","images/Area 54 Cards - 106 - Cosmo Titian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 106 - Cosmo Titian.jpg","3252.9"
"RE-011566","Ron English's Area 54 - Cards / Packs","10","107 Cosmo Titian","Area 54 Cards - 107 - Cosmo Titian.jpg","images/Area 54 Cards - 107 - Cosmo Titian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 107 - Cosmo Titian.jpg","2461.8"
"RE-011567","Ron English's Area 54 - Cards / Packs","11","108 Cosmo Titian","Area 54 Cards - 108 - Cosmo Titian.jpg","images/Area 54 Cards - 108 - Cosmo Titian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 108 - Cosmo Titian.jpg","3154.4"
"RE-011568","Ron English's Area 54 - Cards / Packs","12","109 Cosmo Titian","Area 54 Cards - 109 - Cosmo Titian.jpg","images/Area 54 Cards - 109 - Cosmo Titian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 109 - Cosmo Titian.jpg","2858.6"
"RE-011569","Ron English's Area 54 - Cards / Packs","13","11 Mickey Fin","Area 54 Cards - 11 - Mickey Fin.jpg","images/Area 54 Cards - 11 - Mickey Fin.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 11 - Mickey Fin.jpg","2407.8"
