"WorkID","CardName","CardNumber","Date","ProjectSeries","Medium","RarityOrCardType","PrintedSetNumber","FileName","LocalImagePath","ImageExists","DetailPage","SourceImageURL"
"RE-011557","Orion","1","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","1/24","Area 54 Cards - 1 - Orion.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 1 - Orion.jpg","True","cards/RE-011557.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%201%20-%20Orion.jpg"
"RE-011558","DJ Alien Angel","2","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","2/24","Area 54 Cards - 2 - DJ Alien Angel.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 2 - DJ Alien Angel.jpg","True","cards/RE-011558.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%202%20-%20DJ%20Alien%20Angel.jpg"
"RE-011559","Saturn Sam","3","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","","3/24","Area 54 Cards - 3 - Saturn Sam.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 3 - Saturn Sam.jpg","True","cards/RE-011559.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%203%20-%20Saturn%20Sam.jpg"
"RE-011560","Quarterback Squeak","4","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","","4/24","Area 54 Cards - 4 - Quarterback Squeak.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 4 - Quarterback Squeak.jpg","True","cards/RE-011560.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%204%20-%20Quarterback%20Squeak.jpg"
"RE-011561","Lorraine Yang","5","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","","5/24","Area 54 Cards - 5 - Lorraine Yang.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 5 - Lorraine Yang.jpg","True","cards/RE-011561.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%205%20-%20Lorraine%20Yang.jpg"
"RE-011562","Bunnny Rabbbit","6","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","","6/24","Area 54 Cards - 6 - Bunnny Rabbbit.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 6 - Bunnny Rabbbit.jpg","True","cards/RE-011562.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%206%20-%20Bunnny%20Rabbbit.jpg"
"RE-011563","King Crok","7","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","","7/24","Area 54 Cards - 7 - King Crok.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 7 - King Crok.jpg","True","cards/RE-011563.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%207%20-%20King%20Crok.jpg"
"RE-011564","Bee Alien","8","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","","8/24","Area 54 Cards - 8 - Bee Alien.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 8 - Bee Alien.jpg","True","cards/RE-011564.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%208%20-%20Bee%20Alien.jpg"
"RE-011565","Invading Alien Family","9","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","","9/24","Area 54 Cards - 9 - Invading Alien Family.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 9 - Invading Alien Family.jpg","True","cards/RE-011565.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%209%20-%20Invading%20Alien%20Family.jpg"
"RE-011566","Wingman Miller","10","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","10/24","Area 54 Cards - 10 - Wingman Miller.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 10 - Wingman Miller.jpg","True","cards/RE-011566.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2010%20-%20Wingman%20Miller.jpg"
"RE-011567","Mickey Fin","11","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","11/24","Area 54 Cards - 11 - Mickey Fin.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 11 - Mickey Fin.jpg","True","cards/RE-011567.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2011%20-%20Mickey%20Fin.jpg"
"RE-011568","Ronnnie Rabbbit","12","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","12/24","Area 54 Cards - 12 - Ronnnie Rabbbit.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 12 - Ronnnie Rabbbit.jpg","True","cards/RE-011568.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2012%20-%20Ronnnie%20Rabbbit.jpg"
