"CardName","CardNumber"
"Orion","1"
"DJ Alien Angel","2"
"Saturn Sam","3"
"Quarterback Squeak","4"
"Lorraine Yang","5"
"Bunnny Rabbbit","6"
"King Crok","7"
"Bee Alien","8"
"Invading Alien Family","9"
"Wingman Miller","10"
"Mickey Fin","11"
"Ronnnie Rabbbit","12"
"Poultry Rex","13"
"Cathy Cowgirl","14"
"Grinny Saturn","15"
"Space Face UFO","16"
"UFO Liberty","17"
"Light Cult Crypto Alien","18"
"Orion Pod Slime","19"
"Gimme Unipig","20"
"Slo Mo UFO","21"
"Goldie Aquanaut","22"
"Triclopsian","23"
"Snailien King","24"
"Grinnie Martian","25"
"Grinnie Martian","26"
"Grinnie Martian","27"
"Grinnie Martian","28"
"Grinnie Martian","29"
"Grinnie Martian","30"
"Grinnie Martian","31"
"Star Skull Alien","32"
"Star Skull Alien","33"
"Star Skull Alien","34"
"Star Skull Alien","35"
"Star Skull Alien","36"
"Star Skull Alien","37"
"Star Skull Alien","38"
"Star Skull Alien","39"
"Star Skull Alien","40"
"Star Skull Alien","41"
"Star Skull Alien","42"
"Star Skull Alien","43"
"Codextra Manasser","44"
"Codextra Manasser","45"
"Codextra Manasser","46"
"Codextra Manasser","47"
"Codextra Manasser","48"
"Codextra Manasser","49"
"Codextra Manasser","50"
"Codextra Manasser","51"
"Codextra Manasser","52"
"Elated Xtra Terrestrial","53"
"Elated Xtra Terrestrial","54"
"Elated Xtra Terrestrial","55"
"Elated Xtra Terrestrial","56"
"Elated Xtra Terrestrial","57"
"Elated Xtra Terrestrial","58"
"Elated Xtra Terrestrial","59"
"Elated Xtra Terrestrial","60"
"Elated Xtra Terrestrial","61"
"Grift Drifter","62"
"Grift Drifter","63"
"Grift Drifter","64"
"Grift Drifter","65"
"Grift Drifter","66"
"Grift Drifter","67"
"Grift Drifter","68"
"Grift Drifter","69"
"Grift Drifter","70"
"Remora Rabbbit","71"
"Remora Rabbbit","72"
"Remora Rabbbit","73"
"Remora Rabbbit","74"
"Remora Rabbbit","75"
"Remora Rabbbit","76"
"Remora Rabbbit","77"
"Remora Rabbbit","78"
"Remora Rabbbit","79"
"Zerk Zuckzurd","80"
"Zerk Zuckzurd","81"
"Zerk Zuckzurd","82"
"Zerk Zuckzurd","83"
"Zerk Zuckzurd","84"
"Zerk Zuckzurd","85"
"Zerk Zuckzurd","86"
"Zerk Zuckzurd","87"
"Zerk Zuckzurd","88"
"Fuelatron Jellybone","89"
"Fuelatron Jellybone","90"
"Fuelatron Jellybone","91"
"Fuelatron Jellybone","92"
"Fuelatron Jellybone","93"
"Fuelatron Jellybone","94"
"Fuelatron Jellybone","95"
"Fuelatron Jellybone","96"
"Fuelatron Jellybone","97"
"Fuelatron Jellybone","98"
"Cosmo Titian","99"
"Cosmo Titian","100"
"Cosmo Titian","101"
"Cosmo Titian","102"
"Cosmo Titian","103"
"Cosmo Titian","104"
"Cosmo Titian","105"
"Cosmo Titian","106"
"Cosmo Titian","107"
"Cosmo Titian","108"
"Cosmo Titian","109"
"Cosmo Titian","110"
"Cosmo Titian","111"
"Demi Mondaine","112"
"Demi Mondaine","113"
"Demi Mondaine","114"
"Demi Mondaine","115"
"Demi Mondaine","116"
"Demi Mondaine","117"
"Demi Mondaine","118"
"Demi Mondaine","119"
"Demi Mondaine","120"
"Aerospam Demotron","121"
"Aerospam Demotron","122"
"Aerospam Demotron","123"
"Aerospam Demotron","124"
"Aerospam Demotron","125"
"Aerospam Demotron","126"
"Aerospam Demotron","127"
"Aerospam Demotron","128"
"Aerospam Demotron","129"
"Scrabismus Estropian","130"
"Scrabismus Estropian","131"
"Scrabismus Estropian","132"
"Scrabismus Estropian","133"
"Scrabismus Estropian","134"
"Scrabismus Estropian","135"
"Scrabismus Estropian","136"
"Scrabismus Estropian","137"
"Scrabismus Estropian","138"
"Cronik Comet","139"
"Cronik Comet","140"
"Cronik Comet","141"
"Cronik Comet","142"
"Cronik Comet","143"
"Cronik Comet","144"
"Cronik Comet","145"
"Cronik Comet","146"
"Cronik Comet","147"
"Samboner Infaspace","148"
"Samboner Infaspace","149"
"Samboner Infaspace","150"
"Samboner Infaspace","151"
"Samboner Infaspace","152"
"Samboner Infaspace","153"
"Samboner Infaspace","154"
"Samboner Infaspace","155"
"Samboner Infaspace","156"
"Schlubber","157"
"Schlubber","158"
"Schlubber","159"
"Schlubber","160"
"Schlubber","161"
"Schlubber","162"
"Schlubber","163"
"Schlubber","164"
"Schlubber","165"
"Perp Petual","166"
"Perp Petual","167"
"Perp Petual","168"
"Perp Petual","169"
"Perp Petual","170"
"Perp Petual","171"
"Perp Petual","172"
"Perp Petual","173"
"Perp Petual","174"
"Ardent Adventurer","175"
"Ardent Adventurer","176"
"Ardent Adventurer","177"
"Ardent Adventurer","178"
"Ardent Adventurer","179"
"Ardent Adventurer","180"
"Ardent Adventurer","181"
