CardName	CardNumber	Image	ImageURL	FileName
Orion	1	=IMAGE("https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%201%20-%20Orion.jpg",4,160,110)	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%201%20-%20Orion.jpg	Area 54 Cards - 1 - Orion.jpg
Wingman Miller	10	=IMAGE("https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2010%20-%20Wingman%20Miller.jpg",4,160,110)	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2010%20-%20Wingman%20Miller.jpg	Area 54 Cards - 10 - Wingman Miller.jpg
Cosmo Titian	100	=IMAGE("https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20100%20-%20Cosmo%20Titian.jpg",4,160,110)	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20100%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 100 - Cosmo Titian.jpg
Cosmo Titian	101	=IMAGE("https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20101%20-%20Cosmo%20Titian.jpg",4,160,110)	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20101%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 101 - Cosmo Titian.jpg
Cosmo Titian	102	=IMAGE("https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20102%20-%20Cosmo%20Titian.jpg",4,160,110)	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20102%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 102 - Cosmo Titian.jpg
Cosmo Titian	103	=IMAGE("https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20103%20-%20Cosmo%20Titian.jpg",4,160,110)	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20103%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 103 - Cosmo Titian.jpg
Cosmo Titian	104	=IMAGE("https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20104%20-%20Cosmo%20Titian.jpg",4,160,110)	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20104%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 104 - Cosmo Titian.jpg
Cosmo Titian	105	=IMAGE("https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20105%20-%20Cosmo%20Titian.jpg",4,160,110)	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20105%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 105 - Cosmo Titian.jpg
Cosmo Titian	106	=IMAGE("https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20106%20-%20Cosmo%20Titian.jpg",4,160,110)	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20106%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 106 - Cosmo Titian.jpg
Cosmo Titian	107	=IMAGE("https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20107%20-%20Cosmo%20Titian.jpg",4,160,110)	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20107%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 107 - Cosmo Titian.jpg
