"TokenNumber","TokenPadded","NewWorkID","Title","RepoName","ItemPath","ExpectedImagePath","ExpectedSrcFromItem","FirstImgSrcFound","ResolvedFirstImgPath","LocalImgSrcCount","MatchesExpectedImage","Status","Message"
"0","0000","RE-001811","Light Cult Crypto Club #0000","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0000.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0000.png","../images/0001-0100/LCCC-0000.png","../images/0001-0100/LCCC-0000.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0000.png","1","YES","OK","Image src resolves to expected local image."
"1","0001","RE-001812","Light Cult Crypto Club #0001","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0001.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0001.png","../images/0001-0100/LCCC-0001.png","../images/0001-0100/LCCC-0001.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0001.png","1","YES","OK","Image src resolves to expected local image."
"2","0002","RE-001813","Light Cult Crypto Club #0002","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0002.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0002.png","../images/0001-0100/LCCC-0002.png","../images/0001-0100/LCCC-0002.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0002.png","1","YES","OK","Image src resolves to expected local image."
"4","0004","RE-001814","Light Cult Crypto Club #0004","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0004.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0004.png","../images/0001-0100/LCCC-0004.png","../images/0001-0100/LCCC-0004.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0004.png","1","YES","OK","Image src resolves to expected local image."
"5","0005","RE-001815","Light Cult Crypto Club #0005","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0005.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0005.png","../images/0001-0100/LCCC-0005.png","../images/0001-0100/LCCC-0005.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0005.png","1","YES","OK","Image src resolves to expected local image."
"6","0006","RE-001816","Light Cult Crypto Club #0006","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0006.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0006.png","../images/0001-0100/LCCC-0006.png","../images/0001-0100/LCCC-0006.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0006.png","1","YES","OK","Image src resolves to expected local image."
"7","0007","RE-001817","Light Cult Crypto Club #0007","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0007.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0007.png","../images/0001-0100/LCCC-0007.png","../images/0001-0100/LCCC-0007.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0007.png","1","YES","OK","Image src resolves to expected local image."
"8","0008","RE-001818","Light Cult Crypto Club #0008","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0008.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0008.png","../images/0001-0100/LCCC-0008.png","../images/0001-0100/LCCC-0008.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0008.png","1","YES","OK","Image src resolves to expected local image."
"9","0009","RE-001819","Light Cult Crypto Club #0009","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0009.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0009.png","../images/0001-0100/LCCC-0009.png","../images/0001-0100/LCCC-0009.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0009.png","1","YES","OK","Image src resolves to expected local image."
"10","0010","RE-001820","Light Cult Crypto Club #0010","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0010.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0010.png","../images/0001-0100/LCCC-0010.png","../images/0001-0100/LCCC-0010.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0010.png","1","YES","OK","Image src resolves to expected local image."
