"TokenNumber","TokenPadded","Title","NewWorkID","OldWorkID","RepoName","ExpectedItemPath","ItemPageExists","PageStatus","PageContainsNewWorkID","PageContainsOldWorkID","WorkIDsFoundInPage","ExpectedImagePath","ExpectedImageExists","LocalImageCandidateCount","SameRepoImageCandidateCount","ImageStatus","BestLocalImagePath","BestImageRelativeToRepo","BestImagePublicURLGuess","OpenSeaImageURL","OpenSeaItemURL","CanCreateMissingPage"
"0","0000","Light Cult Crypto Club #0000","RE-001811","","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0000.html","NO","MISSING_PAGE","","","","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0000.png","NO","0","0","NO_LOCAL_IMAGE_FOUND","","","","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/0833c64e7021b3df79743557579d3214.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/0","NEEDS_LOCAL_IMAGE_FROM_OPENSEA"
"9001","9001","Light Cult Crypto Club #9001","RE-009746","RE-010811","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9001.html","YES","OK","YES","NO","RE-009746","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9001.png","NO","0","0","NO_LOCAL_IMAGE_FOUND","","","","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/22f3afbded2d61e4b4380624bdf5e1c0.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9001","PAGE_ALREADY_EXISTS"
"9002","9002","Light Cult Crypto Club #9002","RE-009747","RE-010812","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9002.html","YES","OK","YES","NO","RE-009747","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9002.png","NO","0","0","NO_LOCAL_IMAGE_FOUND","","","","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/31d744957d2d9bde59f8bb7ca058237e.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9002","PAGE_ALREADY_EXISTS"
"9003","9003","Light Cult Crypto Club #9003","RE-009748","RE-010813","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9003.html","YES","OK","YES","NO","RE-009748","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9003.png","NO","0","0","NO_LOCAL_IMAGE_FOUND","","","","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/b3608a2dd80e9544c11db481269cb6c1.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9003","PAGE_ALREADY_EXISTS"
"9004","9004","Light Cult Crypto Club #9004","RE-009749","RE-010814","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9004.html","YES","OK","YES","NO","RE-009749","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9004.png","NO","0","0","NO_LOCAL_IMAGE_FOUND","","","","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/d70b4c378c14d809c4a3810b94739a4f.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9004","PAGE_ALREADY_EXISTS"
"9005","9005","Light Cult Crypto Club #9005","RE-009750","RE-010815","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9005.html","YES","OK","YES","NO","RE-009750","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9005.png","NO","0","0","NO_LOCAL_IMAGE_FOUND","","","","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/75ea2b93d9dddaf88c9eb0f4138f8834.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9005","PAGE_ALREADY_EXISTS"
"9007","9007","Light Cult Crypto Club #9007","RE-009751","RE-010817","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9007.html","YES","OK","YES","NO","RE-009751","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9007.png","NO","0","0","NO_LOCAL_IMAGE_FOUND","","","","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/03b18730b1482ce4e4f29d3e1b401b56.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9007","PAGE_ALREADY_EXISTS"
"9008","9008","Light Cult Crypto Club #9008","RE-009752","RE-010818","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9008.html","YES","OK","YES","NO","RE-009752","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9008.png","NO","0","0","NO_LOCAL_IMAGE_FOUND","","","","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/c32e62f409183e4c5711e4e9cce6f070.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9008","PAGE_ALREADY_EXISTS"
"9009","9009","Light Cult Crypto Club #9009","RE-009753","RE-010819","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9009.html","YES","OK","YES","NO","RE-009753","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9009.png","NO","0","0","NO_LOCAL_IMAGE_FOUND","","","","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/6a6bddfe0fbbd0438b3bbc85ec756f8a.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9009","PAGE_ALREADY_EXISTS"
"9011","9011","Light Cult Crypto Club #9011","RE-009754","RE-010821","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9011.html","YES","OK","YES","NO","RE-009754","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9011.png","NO","0","0","NO_LOCAL_IMAGE_FOUND","","","","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1c49e9e5f992a3ccc00f5f4508b05fff.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9011","PAGE_ALREADY_EXISTS"
