"TokenNumber","TokenPadded","Title","NewWorkID","OldWorkID","RepoName","ExpectedItemPath","ItemPageExists","PageStatus","PageContainsNewWorkID","PageContainsOldWorkID","WorkIDsFoundInPage","ExpectedImagePath","ExpectedImageExists","LocalImageCandidateCount","SameRepoImageCandidateCount","ImageStatus","BestLocalImagePath","BestImageRelativeToRepo","BestImagePublicURLGuess","OpenSeaImageURL","OpenSeaItemURL","CanCreateMissingPage"
"0","0000","Light Cult Crypto Club #0000","RE-001811","","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0000.html","NO","MISSING_PAGE","","","","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0000.png","YES","1","1","EXPECTED_IMAGE_EXISTS","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0000.png","images\0001-0100\LCCC-0000.png","https://ronenglish-archive.github.io/ron-english-light-cult-0001-1000/images/0001-0100/LCCC-0000.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/0833c64e7021b3df79743557579d3214.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/0","YES_LOCAL_IMAGE_FOUND"
"9747","9747","Light Cult Crypto Club #9747","RE-010398","RE-011557","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9747.html","NO","MISSING_PAGE","","","","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9747.png","YES","1","1","EXPECTED_IMAGE_EXISTS","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9747.png","images\9701-9800\LCCC-9747.png","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/images/9701-9800/LCCC-9747.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/c00725fb85852be3952fba44dc02b7aa.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9747","YES_LOCAL_IMAGE_FOUND"
"9748","9748","Light Cult Crypto Club #9748","RE-010399","RE-011558","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9748.html","NO","MISSING_PAGE","","","","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9748.png","YES","1","1","EXPECTED_IMAGE_EXISTS","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9748.png","images\9701-9800\LCCC-9748.png","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/images/9701-9800/LCCC-9748.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/c6e1aee5d2ed54dd0a948cdbb0debe2f.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9748","YES_LOCAL_IMAGE_FOUND"
"9749","9749","Light Cult Crypto Club #9749","RE-010400","RE-011559","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9749.html","NO","MISSING_PAGE","","","","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9749.png","YES","1","1","EXPECTED_IMAGE_EXISTS","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9749.png","images\9701-9800\LCCC-9749.png","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/images/9701-9800/LCCC-9749.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/cf888379e56644b20dc680cedc443500.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9749","YES_LOCAL_IMAGE_FOUND"
"9750","9750","Light Cult Crypto Club #9750","RE-010401","RE-011560","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9750.html","NO","MISSING_PAGE","","","","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9750.png","YES","1","1","EXPECTED_IMAGE_EXISTS","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9750.png","images\9701-9800\LCCC-9750.png","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/images/9701-9800/LCCC-9750.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/08152473a4d5137f7c7ee1c1918c5d49.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9750","YES_LOCAL_IMAGE_FOUND"
"9751","9751","Light Cult Crypto Club #9751","RE-010402","RE-011561","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9751.html","NO","MISSING_PAGE","","","","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9751.png","YES","1","1","EXPECTED_IMAGE_EXISTS","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9751.png","images\9701-9800\LCCC-9751.png","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/images/9701-9800/LCCC-9751.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/226e0b3b91bd1a98f2154250e0837e2e.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9751","YES_LOCAL_IMAGE_FOUND"
"9752","9752","Light Cult Crypto Club #9752","RE-010403","RE-011562","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9752.html","NO","MISSING_PAGE","","","","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9752.png","YES","1","1","EXPECTED_IMAGE_EXISTS","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9752.png","images\9701-9800\LCCC-9752.png","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/images/9701-9800/LCCC-9752.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8b224d177caa16c26882a79b8eec8797.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9752","YES_LOCAL_IMAGE_FOUND"
"9753","9753","Light Cult Crypto Club #9753","RE-010404","RE-011563","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9753.html","NO","MISSING_PAGE","","","","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9753.png","YES","1","1","EXPECTED_IMAGE_EXISTS","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9753.png","images\9701-9800\LCCC-9753.png","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/images/9701-9800/LCCC-9753.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/d0f695da6a73061b315b5554b87032f1.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9753","YES_LOCAL_IMAGE_FOUND"
"9754","9754","Light Cult Crypto Club #9754","RE-010405","RE-011564","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9754.html","NO","MISSING_PAGE","","","","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9754.png","YES","1","1","EXPECTED_IMAGE_EXISTS","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9754.png","images\9701-9800\LCCC-9754.png","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/images/9701-9800/LCCC-9754.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/97423885dbb60b66e219e017bd8416a8.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9754","YES_LOCAL_IMAGE_FOUND"
"9755","9755","Light Cult Crypto Club #9755","RE-010406","RE-011565","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9755.html","NO","MISSING_PAGE","","","","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9755.png","YES","1","1","EXPECTED_IMAGE_EXISTS","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9755.png","images\9701-9800\LCCC-9755.png","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/images/9701-9800/LCCC-9755.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8bda2caa79d275bda367f5f69e202215.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9755","YES_LOCAL_IMAGE_FOUND"
