"Range","Repo","RepoExists","Manifest","FoundCount","RepresentativeImage","RepresentativeImageExists","FirstWorkID","LastWorkID","Note"
"0001-1000","ron-english-light-cult-0001-1000","True","D:\github\ron-english-light-cult-0001-1000\data\light-cult-0001-1000-manifest.csv","871","images/0001-0100/LCCC-0001.png","True","RE-001811","RE-002810",""
"1001-2000","ron-english-light-cult-1001-2000","True","D:\github\ron-english-light-cult-1001-2000\data\light-cult-1001-2000-manifest.csv","901","images/1001-1100/LCCC-1001.png","True","RE-002811","RE-003810",""
"2001-3000","ron-english-light-cult-2001-3000","True","D:\github\ron-english-light-cult-2001-3000\data\light-cult-2001-3000-manifest.csv","876","images/2001-2100/LCCC-2001.png","True","RE-003811","RE-004810",""
"3001-4000","ron-english-light-cult-3001-4000","True","D:\github\ron-english-light-cult-3001-4000\data\light-cult-3001-4000-manifest.csv","896","images/3001-3100/LCCC-3002.png","True","RE-004812","RE-005810",""
"4001-5000","ron-english-light-cult-4001-5000","True","D:\github\ron-english-light-cult-4001-5000\data\light-cult-4001-5000-manifest.csv","870","images/4001-4100/LCCC-4002.png","True","RE-005812","RE-006810",""
"5001-6000","ron-english-light-cult-5001-6000","True","D:\github\ron-english-light-cult-5001-6000\data\light-cult-5001-6000-manifest.csv","884","images/5001-5100/LCCC-5001.png","True","RE-006811","RE-007810",""
"6001-7000","ron-english-light-cult-6001-7000","True","D:\github\ron-english-light-cult-6001-7000\data\light-cult-6001-7000-manifest.csv","870","images/6001-6100/LCCC-6001.png","True","RE-007811","RE-008810",""
"7001-8000","ron-english-light-cult-7001-8000","True","D:\github\ron-english-light-cult-7001-8000\data\light-cult-7001-8000-manifest.csv","885","images/7001-7100/LCCC-7001.png","True","RE-008811","RE-009810",""
"8001-9000","ron-english-light-cult-8001-9000","True","D:\github\ron-english-light-cult-8001-9000\data\light-cult-8001-9000-manifest.csv","881","images/8001-8100/LCCC-8001.png","True","RE-009811","RE-010810",""
"9001-10000","ron-english-light-cult-9001-10000","True","D:\github\ron-english-light-cult-9001-10000\data\light-cult-9001-10000-manifest.csv","746","images/9001-9100/RE-010811.jpg","True","RE-010811","RE-011556",""
