"TokenNumber","TokenPadded","NewWorkID","Title","ItemPath","ExpectedImagePath","NewImageSrcFromItem","OpenSeaImageURL","DownloadURLUsed","ImageStatus","HtmlStatus","DownloadedBytes","Message"
"9001","9001","RE-009746","Light Cult Crypto Club #9001","D:\github\ron-english-light-cult-9001-10000\items\lccc-9001.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9001.png","../images/9001-9100/LCCC-9001.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/22f3afbded2d61e4b4380624bdf5e1c0.png?w=350","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/22f3afbded2d61e4b4380624bdf5e1c0.png","IMAGE_ALREADY_EXISTS","HTML_NO_CHANGE","","Repaired."
"9002","9002","RE-009747","Light Cult Crypto Club #9002","D:\github\ron-english-light-cult-9001-10000\items\lccc-9002.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9002.png","../images/9001-9100/LCCC-9002.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/31d744957d2d9bde59f8bb7ca058237e.png?w=350","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/31d744957d2d9bde59f8bb7ca058237e.png","IMAGE_ALREADY_EXISTS","HTML_NO_CHANGE","","Repaired."
"9003","9003","RE-009748","Light Cult Crypto Club #9003","D:\github\ron-english-light-cult-9001-10000\items\lccc-9003.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9003.png","../images/9001-9100/LCCC-9003.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/b3608a2dd80e9544c11db481269cb6c1.png?w=350","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/b3608a2dd80e9544c11db481269cb6c1.png","IMAGE_ALREADY_EXISTS","HTML_NO_CHANGE","","Repaired."
"9004","9004","RE-009749","Light Cult Crypto Club #9004","D:\github\ron-english-light-cult-9001-10000\items\lccc-9004.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9004.png","../images/9001-9100/LCCC-9004.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/d70b4c378c14d809c4a3810b94739a4f.png?w=350","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/d70b4c378c14d809c4a3810b94739a4f.png","IMAGE_ALREADY_EXISTS","HTML_NO_CHANGE","","Repaired."
"9005","9005","RE-009750","Light Cult Crypto Club #9005","D:\github\ron-english-light-cult-9001-10000\items\lccc-9005.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9005.png","../images/9001-9100/LCCC-9005.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/75ea2b93d9dddaf88c9eb0f4138f8834.png?w=350","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/75ea2b93d9dddaf88c9eb0f4138f8834.png","IMAGE_ALREADY_EXISTS","HTML_NO_CHANGE","","Repaired."
"9007","9007","RE-009751","Light Cult Crypto Club #9007","D:\github\ron-english-light-cult-9001-10000\items\lccc-9007.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9007.png","../images/9001-9100/LCCC-9007.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/03b18730b1482ce4e4f29d3e1b401b56.png?w=350","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/03b18730b1482ce4e4f29d3e1b401b56.png","IMAGE_ALREADY_EXISTS","HTML_NO_CHANGE","","Repaired."
"9008","9008","RE-009752","Light Cult Crypto Club #9008","D:\github\ron-english-light-cult-9001-10000\items\lccc-9008.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9008.png","../images/9001-9100/LCCC-9008.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/c32e62f409183e4c5711e4e9cce6f070.png?w=350","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/c32e62f409183e4c5711e4e9cce6f070.png","IMAGE_ALREADY_EXISTS","HTML_NO_CHANGE","","Repaired."
"9009","9009","RE-009753","Light Cult Crypto Club #9009","D:\github\ron-english-light-cult-9001-10000\items\lccc-9009.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9009.png","../images/9001-9100/LCCC-9009.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/6a6bddfe0fbbd0438b3bbc85ec756f8a.png?w=350","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/6a6bddfe0fbbd0438b3bbc85ec756f8a.png","IMAGE_ALREADY_EXISTS","HTML_NO_CHANGE","","Repaired."
"9011","9011","RE-009754","Light Cult Crypto Club #9011","D:\github\ron-english-light-cult-9001-10000\items\lccc-9011.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9011.png","../images/9001-9100/LCCC-9011.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1c49e9e5f992a3ccc00f5f4508b05fff.png?w=350","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1c49e9e5f992a3ccc00f5f4508b05fff.png","IMAGE_ALREADY_EXISTS","HTML_NO_CHANGE","","Repaired."
"9012","9012","RE-009755","Light Cult Crypto Club #9012","D:\github\ron-english-light-cult-9001-10000\items\lccc-9012.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9012.png","../images/9001-9100/LCCC-9012.png","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/2fe5b5ef650f49a0e27a3110aa23c8ee.png?w=350","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/2fe5b5ef650f49a0e27a3110aa23c8ee.png","IMAGE_ALREADY_EXISTS","HTML_NO_CHANGE","","Repaired."
