"AlphabeticalPosition","FileName","FullPath","CopiedTo","Extension","SizeKB"
"1","222QM3JZ__Diapositiva710.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\222QM3JZ__Diapositiva710.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\222QM3JZ__Diapositiva710.JPG",".JPG","143.6"
"2","228FKVZI__Diapositiva149.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\228FKVZI__Diapositiva149.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\228FKVZI__Diapositiva149.JPG",".JPG","63.1"
"3","229LBUIJ__4680 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\229LBUIJ__4680 - Light Cult Crypto Club.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\229LBUIJ__4680 - Light Cult Crypto Club.JPG",".JPG","148.5"
"4","22L2T4C9__5189 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\22L2T4C9__5189 - Light Cult Crypto Club.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\22L2T4C9__5189 - Light Cult Crypto Club.JPG",".JPG","94.9"
"5","22MLLGB5__Diapositiva947.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\22MLLGB5__Diapositiva947.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\22MLLGB5__Diapositiva947.JPG",".JPG","73.6"
"6","22N76YQ7__Diapositiva268.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\22N76YQ7__Diapositiva268.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\22N76YQ7__Diapositiva268.JPG",".JPG","65.5"
"7","22VJY6Z8__4228 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\22VJY6Z8__4228 - Light Cult Crypto Club.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\22VJY6Z8__4228 - Light Cult Crypto Club.JPG",".JPG","70.8"
"8","22WAH56J__Diapositiva735.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\22WAH56J__Diapositiva735.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\22WAH56J__Diapositiva735.JPG",".JPG","126.5"
"9","22Z622PG__7321 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\22Z622PG__7321 - Light Cult Crypto Club.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\22Z622PG__7321 - Light Cult Crypto Club.JPG",".JPG","108"
"10","232NMBBG__4470 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\232NMBBG__4470 - Light Cult Crypto Club.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\232NMBBG__4470 - Light Cult Crypto Club.JPG",".JPG","133"
"11","23AIXAKI__4647 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\23AIXAKI__4647 - Light Cult Crypto Club.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\23AIXAKI__4647 - Light Cult Crypto Club.JPG",".JPG","118.1"
"12","23AVYMS3__3935 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\23AVYMS3__3935 - Light Cult Crypto Club.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\23AVYMS3__3935 - Light Cult Crypto Club.JPG",".JPG","94.9"
"13","23KE75H4__7520 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\23KE75H4__7520 - Light Cult Crypto Club.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\23KE75H4__7520 - Light Cult Crypto Club.JPG",".JPG","121.3"
"14","23LUH7NZ__8024 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\23LUH7NZ__8024 - Light Cult Crypto Club.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\23LUH7NZ__8024 - Light Cult Crypto Club.JPG",".JPG","55.7"
"15","23NFTBKZ__4525 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\23NFTBKZ__4525 - Light Cult Crypto Club.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\23NFTBKZ__4525 - Light Cult Crypto Club.JPG",".JPG","119"
"16","23UI68VL__5281 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\23UI68VL__5281 - Light Cult Crypto Club.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\23UI68VL__5281 - Light Cult Crypto Club.JPG",".JPG","71.8"
"17","23X396UB__8081 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\23X396UB__8081 - Light Cult Crypto Club.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\23X396UB__8081 - Light Cult Crypto Club.JPG",".JPG","139.7"
"18","23XI63TH__7596 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\23XI63TH__7596 - Light Cult Crypto Club.JPG","D:\github\ron-english-nfts\light-cult-crypto-club\images\alphabetical-0001-0100\23XI63TH__7596 - Light Cult Crypto Club.JPG",".JPG","39.2"
