"NFTNumber","DuplicateCountForNumber","FileName","FullPath","SizeKB"
"1","3","4J2JN5CY__Diapositiva1.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\4J2JN5CY__Diapositiva1.JPG","124.9"
"1","3","KWESVDDU__Diapositiva1.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\KWESVDDU__Diapositiva1.JPG","84.3"
"1","3","TGYZRBSJ__Diapositiva1.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\TGYZRBSJ__Diapositiva1.JPG","71.6"
"2","3","RKK38PPT__Diapositiva2.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\RKK38PPT__Diapositiva2.JPG","138.8"
"2","3","VEHGFJ3I__Diapositiva2.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\VEHGFJ3I__Diapositiva2.JPG","127.8"
"2","3","Y9CRXUF3__Diapositiva2.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\Y9CRXUF3__Diapositiva2.JPG","81.5"
"3","3","5LB5JX43__Diapositiva3.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\5LB5JX43__Diapositiva3.JPG","81.9"
"3","3","9YRYIANB__Diapositiva3.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\9YRYIANB__Diapositiva3.JPG","53.1"
"3","3","WQCWBVE4__Diapositiva3.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\WQCWBVE4__Diapositiva3.JPG","120.6"
"4","3","3EU2J4GM__Diapositiva4.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3EU2J4GM__Diapositiva4.JPG","152.4"
"4","3","562UD7W2__Diapositiva4.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\562UD7W2__Diapositiva4.JPG","53.6"
"4","3","A7VX6JLN__Diapositiva4.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\A7VX6JLN__Diapositiva4.JPG","54.9"
"5","3","FAHH7WZ9__Diapositiva5.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\FAHH7WZ9__Diapositiva5.JPG","132.9"
"5","3","Q5JBBLLL__Diapositiva5.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\Q5JBBLLL__Diapositiva5.JPG","123.3"
"5","3","QQM3NBSH__Diapositiva5.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\QQM3NBSH__Diapositiva5.JPG","52.6"
"6","3","7LRMWDVQ__Diapositiva6.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\7LRMWDVQ__Diapositiva6.JPG","138"
"6","3","J3SWDLTU__Diapositiva6.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\J3SWDLTU__Diapositiva6.JPG","67.8"
"6","3","LSAL2ACL__Diapositiva6.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\LSAL2ACL__Diapositiva6.JPG","117"
"7","2","9GPRV4SL__Diapositiva7.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\9GPRV4SL__Diapositiva7.JPG","125.3"
"7","2","C9EZ6BCF__Diapositiva7.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\C9EZ6BCF__Diapositiva7.JPG","80.8"
"8","3","3BX9PQKE__Diapositiva8.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3BX9PQKE__Diapositiva8.JPG","119.4"
"8","3","3DJEDMD9__Diapositiva8.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3DJEDMD9__Diapositiva8.JPG","126.2"
"8","3","5PELGWMW__Diapositiva8.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\5PELGWMW__Diapositiva8.JPG","132.5"
"9","3","GRS8RW53__Diapositiva9.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\GRS8RW53__Diapositiva9.JPG","43"
"9","3","GXCKXJUR__Diapositiva9.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\GXCKXJUR__Diapositiva9.JPG","116.1"
"9","3","T9VB3THB__Diapositiva9.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\T9VB3THB__Diapositiva9.JPG","69.6"
"10","3","UFNYRBDM__Diapositiva10.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\UFNYRBDM__Diapositiva10.JPG","127.6"
"10","3","VJQUVF5S__Diapositiva10.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\VJQUVF5S__Diapositiva10.JPG","73.4"
"10","3","XFTEJPC3__Diapositiva10.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XFTEJPC3__Diapositiva10.JPG","79"
"11","3","84ASXFA2__Diapositiva11.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\84ASXFA2__Diapositiva11.JPG","131.2"
"11","3","U736786B__Diapositiva11.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\U736786B__Diapositiva11.JPG","87.2"
"11","3","YY8MUFTK__Diapositiva11.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YY8MUFTK__Diapositiva11.JPG","187.5"
"12","2","HVAZLM4R__Diapositiva12.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\HVAZLM4R__Diapositiva12.JPG","102.7"
"12","2","L53QTKUA__Diapositiva12.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\L53QTKUA__Diapositiva12.JPG","74.3"
"13","3","BTVEG2Q8__Diapositiva13.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\BTVEG2Q8__Diapositiva13.JPG","69.1"
"13","3","RMDM6M7W__Diapositiva13.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\RMDM6M7W__Diapositiva13.JPG","92.9"
"13","3","YYICWRGZ__Diapositiva13.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YYICWRGZ__Diapositiva13.JPG","64.3"
"14","2","J6D65PTX__Diapositiva14.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\J6D65PTX__Diapositiva14.JPG","36.2"
"14","2","PSTN83JC__Diapositiva14.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\PSTN83JC__Diapositiva14.JPG","47"
"15","3","47AXCZMG__Diapositiva15.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\47AXCZMG__Diapositiva15.JPG","72.6"
"15","3","QD2K5L2H__Diapositiva15.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\QD2K5L2H__Diapositiva15.JPG","121"
"15","3","UFBWXECT__Diapositiva15.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\UFBWXECT__Diapositiva15.JPG","51.5"
"16","3","HHI943UG__Diapositiva16.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\HHI943UG__Diapositiva16.JPG","48.2"
"16","3","L6H9PILK__Diapositiva16.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\L6H9PILK__Diapositiva16.JPG","105"
"16","3","Q6DABQ4Y__Diapositiva16.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\Q6DABQ4Y__Diapositiva16.JPG","61.2"
"17","2","5FQRLFVQ__Diapositiva17.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\5FQRLFVQ__Diapositiva17.JPG","133.5"
"17","2","T5QYUWKB__Diapositiva17.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\T5QYUWKB__Diapositiva17.JPG","144.6"
"18","3","T2IQXKYE__Diapositiva18.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\T2IQXKYE__Diapositiva18.JPG","85.4"
"18","3","XFDD35Q8__Diapositiva18.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XFDD35Q8__Diapositiva18.JPG","52.1"
"18","3","YYR5XITA__Diapositiva18.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YYR5XITA__Diapositiva18.JPG","168"
"19","3","9CJ3WVPS__Diapositiva19.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\9CJ3WVPS__Diapositiva19.JPG","79.9"
"19","3","MG6U8TNQ__Diapositiva19.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\MG6U8TNQ__Diapositiva19.JPG","73.2"
"19","3","UFV699EV__Diapositiva19.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\UFV699EV__Diapositiva19.JPG","187.1"
"20","2","4CT5K7L8__Diapositiva20.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\4CT5K7L8__Diapositiva20.JPG","53"
"20","2","93YK3YSG__Diapositiva20.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\93YK3YSG__Diapositiva20.JPG","156.4"
"21","3","65KWLQWS__Diapositiva21.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\65KWLQWS__Diapositiva21.JPG","61.2"
"21","3","AJZGK5RS__Diapositiva21.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\AJZGK5RS__Diapositiva21.JPG","134.5"
"21","3","T69MFDHB__Diapositiva21.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\T69MFDHB__Diapositiva21.JPG","53.8"
"22","3","VFQBK4SM__Diapositiva22.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\VFQBK4SM__Diapositiva22.JPG","129.8"
"22","3","YEIFDUAL__Diapositiva22.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YEIFDUAL__Diapositiva22.JPG","61.9"
"22","3","YMMKMPZ2__Diapositiva22.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YMMKMPZ2__Diapositiva22.JPG","51"
"23","3","4KTPJ4BI__Diapositiva23.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\4KTPJ4BI__Diapositiva23.JPG","125.2"
"23","3","AC8GD3ND__Diapositiva23.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\AC8GD3ND__Diapositiva23.JPG","128.1"
"23","3","RV4787UR__Diapositiva23.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\RV4787UR__Diapositiva23.JPG","116.5"
"24","3","3EBQLDQ8__Diapositiva24.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3EBQLDQ8__Diapositiva24.JPG","156.4"
"24","3","5QWPW44U__Diapositiva24.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\5QWPW44U__Diapositiva24.JPG","95"
"24","3","QSZ7EIXU__Diapositiva24.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\QSZ7EIXU__Diapositiva24.JPG","48.8"
"25","3","I667HKN8__Diapositiva25.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\I667HKN8__Diapositiva25.JPG","131.6"
"25","3","QM2I4U8Z__Diapositiva25.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\QM2I4U8Z__Diapositiva25.JPG","62.4"
"25","3","ZBTEH94A__Diapositiva25.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\ZBTEH94A__Diapositiva25.JPG","82.8"
"26","3","DVZP5JX9__Diapositiva26.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\DVZP5JX9__Diapositiva26.JPG","42.9"
"26","3","TGCVZUSP__Diapositiva26.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\TGCVZUSP__Diapositiva26.JPG","97.6"
"26","3","VZXT7JUR__Diapositiva26.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\VZXT7JUR__Diapositiva26.JPG","65.2"
"27","3","IDC7KGVJ__Diapositiva27.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\IDC7KGVJ__Diapositiva27.JPG","128.6"
"27","3","KVQ2SDIR__Diapositiva27.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\KVQ2SDIR__Diapositiva27.JPG","120.2"
"27","3","YC8CSYJQ__Diapositiva27.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YC8CSYJQ__Diapositiva27.JPG","137.2"
"28","2","TB2K5FDC__Diapositiva28.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\TB2K5FDC__Diapositiva28.JPG","123.1"
"28","2","VX3SH2M6__Diapositiva28.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\VX3SH2M6__Diapositiva28.JPG","122.3"
"29","3","3SWBUQSZ__Diapositiva29.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3SWBUQSZ__Diapositiva29.JPG","76.7"
"29","3","7IX7Y3FW__Diapositiva29.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\7IX7Y3FW__Diapositiva29.JPG","62.1"
"29","3","9YGGQK3V__Diapositiva29.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\9YGGQK3V__Diapositiva29.JPG","80.6"
"30","3","8QRIPUAJ__Diapositiva30.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\8QRIPUAJ__Diapositiva30.JPG","100"
"30","3","QFA2HIQC__Diapositiva30.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\QFA2HIQC__Diapositiva30.JPG","42.5"
"30","3","YQUY2JUB__Diapositiva30.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YQUY2JUB__Diapositiva30.JPG","69.1"
"31","3","4RLC48SF__Diapositiva31.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\4RLC48SF__Diapositiva31.JPG","136.5"
"31","3","DGZEY6I6__Diapositiva31.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\DGZEY6I6__Diapositiva31.JPG","133"
"31","3","MZZNIIRL__Diapositiva31.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\MZZNIIRL__Diapositiva31.JPG","91.6"
"32","3","J2B2DASR__Diapositiva32.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\J2B2DASR__Diapositiva32.JPG","116.3"
"32","3","LI2269LC__Diapositiva32.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\LI2269LC__Diapositiva32.JPG","131.6"
"32","3","Y3IAKM9Z__Diapositiva32.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\Y3IAKM9Z__Diapositiva32.JPG","140.6"
"33","3","2VFN34TY__Diapositiva33.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2VFN34TY__Diapositiva33.JPG","143.4"
"33","3","ESYN52MW__Diapositiva33.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\ESYN52MW__Diapositiva33.JPG","61.4"
"33","3","WI2EGAKU__Diapositiva33.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\WI2EGAKU__Diapositiva33.JPG","69.8"
"34","3","54C85IH5__Diapositiva34.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\54C85IH5__Diapositiva34.JPG","145.6"
"34","3","96QJ637V__Diapositiva34.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\96QJ637V__Diapositiva34.JPG","56.6"
"34","3","YFN8EN4H__Diapositiva34.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YFN8EN4H__Diapositiva34.JPG","76.2"
"35","3","ACT86XAB__Diapositiva35.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\ACT86XAB__Diapositiva35.JPG","111"
"35","3","E6FHIGHE__Diapositiva35.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\E6FHIGHE__Diapositiva35.JPG","40"
"35","3","EQK7C66D__Diapositiva35.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\EQK7C66D__Diapositiva35.JPG","140.6"
"36","3","92QMT5VN__Diapositiva36.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\92QMT5VN__Diapositiva36.JPG","130.3"
"36","3","LMM5PACV__Diapositiva36.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\LMM5PACV__Diapositiva36.JPG","146.2"
"36","3","ZN7H586R__Diapositiva36.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\ZN7H586R__Diapositiva36.JPG","127.1"
"37","3","D4YNX543__Diapositiva37.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\D4YNX543__Diapositiva37.JPG","59.6"
"37","3","M6BJQ2YB__Diapositiva37.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\M6BJQ2YB__Diapositiva37.JPG","92.9"
"37","3","VZW7I2FG__Diapositiva37.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\VZW7I2FG__Diapositiva37.JPG","137.2"
"38","3","ELE6FY8I__Diapositiva38.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\ELE6FY8I__Diapositiva38.JPG","130.7"
"38","3","HEM6NREP__Diapositiva38.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\HEM6NREP__Diapositiva38.JPG","88"
"38","3","N9BE89JP__Diapositiva38.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\N9BE89JP__Diapositiva38.JPG","118.4"
"39","2","DEYVQHA4__Diapositiva39.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\DEYVQHA4__Diapositiva39.JPG","69"
"39","2","VWWAKMY4__Diapositiva39.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\VWWAKMY4__Diapositiva39.JPG","62.8"
"40","2","P698SC8P__Diapositiva40.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\P698SC8P__Diapositiva40.JPG","118.8"
"40","2","R43M3SEG__Diapositiva40.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\R43M3SEG__Diapositiva40.JPG","121.4"
"41","3","A8NVW7GB__Diapositiva41.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\A8NVW7GB__Diapositiva41.JPG","110.1"
"41","3","C5MJ5J28__Diapositiva41.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\C5MJ5J28__Diapositiva41.JPG","67.7"
"41","3","XS3TP775__Diapositiva41.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XS3TP775__Diapositiva41.JPG","151.8"
"42","3","EVU5JDFY__Diapositiva42.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\EVU5JDFY__Diapositiva42.JPG","53.7"
"42","3","LU3TTDUX__Diapositiva42.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\LU3TTDUX__Diapositiva42.JPG","130.9"
"42","3","SYZ4NZ59__Diapositiva42.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\SYZ4NZ59__Diapositiva42.JPG","132.3"
