"NFTNumber","DisplayTitle","FileName","FullPath","Extension","SizeKB","SuggestedBatch","SuggestedGalleryPage"
"3001","Light Cult Crypto Club #3001","CSI49DRJ__3001 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\CSI49DRJ__3001 - Light Cult Crypto Club.JPG",".JPG","67.5","3001-4000","gallery-3001-3100.html"
"3002","Light Cult Crypto Club #3002","ED9HJPXG__3002 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\ED9HJPXG__3002 - Light Cult Crypto Club.JPG",".JPG","154.5","3001-4000","gallery-3001-3100.html"
"3003","Light Cult Crypto Club #3003","97KFHSJL__3003 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\97KFHSJL__3003 - Light Cult Crypto Club.JPG",".JPG","63.5","3001-4000","gallery-3001-3100.html"
"3004","Light Cult Crypto Club #3004","9AX9PHD6__3004 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\9AX9PHD6__3004 - Light Cult Crypto Club.JPG",".JPG","84.7","3001-4000","gallery-3001-3100.html"
"3005","Light Cult Crypto Club #3005","DJ2SPG8W__3005 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\DJ2SPG8W__3005 - Light Cult Crypto Club.JPG",".JPG","47.2","3001-4000","gallery-3001-3100.html"
"3006","Light Cult Crypto Club #3006","H9IWXBY7__3006 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\H9IWXBY7__3006 - Light Cult Crypto Club.JPG",".JPG","125.3","3001-4000","gallery-3001-3100.html"
"3007","Light Cult Crypto Club #3007","YQ6L4IBN__3007 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YQ6L4IBN__3007 - Light Cult Crypto Club.JPG",".JPG","121.8","3001-4000","gallery-3001-3100.html"
"3009","Light Cult Crypto Club #3009","2XML2BJX__3009 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2XML2BJX__3009 - Light Cult Crypto Club.JPG",".JPG","55.3","3001-4000","gallery-3001-3100.html"
"3010","Light Cult Crypto Club #3010","6MDRM6EP__3010 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\6MDRM6EP__3010 - Light Cult Crypto Club.JPG",".JPG","72.6","3001-4000","gallery-3001-3100.html"
"3011","Light Cult Crypto Club #3011","T632YR5J__3011 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\T632YR5J__3011 - Light Cult Crypto Club.JPG",".JPG","207.4","3001-4000","gallery-3001-3100.html"
"3012","Light Cult Crypto Club #3012","RDNQ8F8X__3012 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\RDNQ8F8X__3012 - Light Cult Crypto Club.JPG",".JPG","80.9","3001-4000","gallery-3001-3100.html"
"3013","Light Cult Crypto Club #3013","CAQBI89K__3013 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\CAQBI89K__3013 - Light Cult Crypto Club.JPG",".JPG","41.2","3001-4000","gallery-3001-3100.html"
