"NFTNumber","DisplayTitle","FileName","FullPath","Extension","SizeKB","InExpectedRange"
"0","Light Cult Crypto Club #0","4ME3L2VI__Diapositiva0.jpg","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\4ME3L2VI__Diapositiva0.jpg",".jpg","101.9","False"
"1","Light Cult Crypto Club #1","4J2JN5CY__Diapositiva1.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\4J2JN5CY__Diapositiva1.JPG",".JPG","124.9","True"
"1","Light Cult Crypto Club #1","KWESVDDU__Diapositiva1.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\KWESVDDU__Diapositiva1.JPG",".JPG","84.3","True"
"1","Light Cult Crypto Club #1","TGYZRBSJ__Diapositiva1.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\TGYZRBSJ__Diapositiva1.JPG",".JPG","71.6","True"
"2","Light Cult Crypto Club #2","RKK38PPT__Diapositiva2.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\RKK38PPT__Diapositiva2.JPG",".JPG","138.8","True"
"2","Light Cult Crypto Club #2","VEHGFJ3I__Diapositiva2.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\VEHGFJ3I__Diapositiva2.JPG",".JPG","127.8","True"
"2","Light Cult Crypto Club #2","Y9CRXUF3__Diapositiva2.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\Y9CRXUF3__Diapositiva2.JPG",".JPG","81.5","True"
"3","Light Cult Crypto Club #3","5LB5JX43__Diapositiva3.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\5LB5JX43__Diapositiva3.JPG",".JPG","81.9","True"
"3","Light Cult Crypto Club #3","9YRYIANB__Diapositiva3.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\9YRYIANB__Diapositiva3.JPG",".JPG","53.1","True"
"3","Light Cult Crypto Club #3","WQCWBVE4__Diapositiva3.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\WQCWBVE4__Diapositiva3.JPG",".JPG","120.6","True"
"4","Light Cult Crypto Club #4","3EU2J4GM__Diapositiva4.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3EU2J4GM__Diapositiva4.JPG",".JPG","152.4","True"
"4","Light Cult Crypto Club #4","562UD7W2__Diapositiva4.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\562UD7W2__Diapositiva4.JPG",".JPG","53.6","True"
"4","Light Cult Crypto Club #4","A7VX6JLN__Diapositiva4.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\A7VX6JLN__Diapositiva4.JPG",".JPG","54.9","True"
"5","Light Cult Crypto Club #5","FAHH7WZ9__Diapositiva5.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\FAHH7WZ9__Diapositiva5.JPG",".JPG","132.9","True"
"5","Light Cult Crypto Club #5","Q5JBBLLL__Diapositiva5.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\Q5JBBLLL__Diapositiva5.JPG",".JPG","123.3","True"
"5","Light Cult Crypto Club #5","QQM3NBSH__Diapositiva5.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\QQM3NBSH__Diapositiva5.JPG",".JPG","52.6","True"
"6","Light Cult Crypto Club #6","7LRMWDVQ__Diapositiva6.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\7LRMWDVQ__Diapositiva6.JPG",".JPG","138","True"
"6","Light Cult Crypto Club #6","J3SWDLTU__Diapositiva6.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\J3SWDLTU__Diapositiva6.JPG",".JPG","67.8","True"
"6","Light Cult Crypto Club #6","LSAL2ACL__Diapositiva6.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\LSAL2ACL__Diapositiva6.JPG",".JPG","117","True"
"7","Light Cult Crypto Club #7","9GPRV4SL__Diapositiva7.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\9GPRV4SL__Diapositiva7.JPG",".JPG","125.3","True"
"7","Light Cult Crypto Club #7","C9EZ6BCF__Diapositiva7.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\C9EZ6BCF__Diapositiva7.JPG",".JPG","80.8","True"
"8","Light Cult Crypto Club #8","3BX9PQKE__Diapositiva8.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3BX9PQKE__Diapositiva8.JPG",".JPG","119.4","True"
"8","Light Cult Crypto Club #8","3DJEDMD9__Diapositiva8.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3DJEDMD9__Diapositiva8.JPG",".JPG","126.2","True"
"8","Light Cult Crypto Club #8","5PELGWMW__Diapositiva8.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\5PELGWMW__Diapositiva8.JPG",".JPG","132.5","True"
"9","Light Cult Crypto Club #9","GRS8RW53__Diapositiva9.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\GRS8RW53__Diapositiva9.JPG",".JPG","43","True"
"9","Light Cult Crypto Club #9","GXCKXJUR__Diapositiva9.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\GXCKXJUR__Diapositiva9.JPG",".JPG","116.1","True"
"9","Light Cult Crypto Club #9","T9VB3THB__Diapositiva9.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\T9VB3THB__Diapositiva9.JPG",".JPG","69.6","True"
"10","Light Cult Crypto Club #10","UFNYRBDM__Diapositiva10.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\UFNYRBDM__Diapositiva10.JPG",".JPG","127.6","True"
"10","Light Cult Crypto Club #10","VJQUVF5S__Diapositiva10.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\VJQUVF5S__Diapositiva10.JPG",".JPG","73.4","True"
"10","Light Cult Crypto Club #10","XFTEJPC3__Diapositiva10.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XFTEJPC3__Diapositiva10.JPG",".JPG","79","True"
"11","Light Cult Crypto Club #11","84ASXFA2__Diapositiva11.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\84ASXFA2__Diapositiva11.JPG",".JPG","131.2","True"
