"RepoName","RepoPath","RepoNameRange","ActualImageRange","ImageCount","GalleryPageCount","FirstWorkID","LastWorkID","FolderSizeMB"
"ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000","0001-1000","0001-1000","1000","10","RE-001811","RE-002810","97.06"
"ron-english-light-cult-1001-2000","D:\github\ron-english-light-cult-1001-2000","1001-2000","1001-2000","1000","10","RE-002811","RE-003810","93.46"
"ron-english-light-cult-2001-3000","D:\github\ron-english-light-cult-2001-3000","2001-3000","2001-3000","1000","10","RE-003811","RE-004810","93.92"
"ron-english-light-cult-3001-4000","D:\github\ron-english-light-cult-3001-4000","3001-4000","3001-4000","1000","10","RE-004811","RE-005810","93.71"
"ron-english-light-cult-4001-5000","D:\github\ron-english-light-cult-4001-5000","4001-5000","4001-5000","1000","10","RE-005811","RE-006810","95.94"
"ron-english-light-cult-5001-6000","D:\github\ron-english-light-cult-5001-6000","5001-6000","5001-6000","1000","10","RE-006811","RE-007810","98.1"
"ron-english-light-cult-6001-7000","D:\github\ron-english-light-cult-6001-7000","6001-7000","6001-7000","1000","10","RE-007811","RE-008810","94.68"
"ron-english-light-cult-7001-8000","D:\github\ron-english-light-cult-7001-8000","7001-8000","7001-8000","1000","10","RE-008811","RE-009810","95.24"
"ron-english-light-cult-8001-9000","D:\github\ron-english-light-cult-8001-9000","8001-9000","8001-9000","1000","10","RE-009811","RE-010810","93.95"
"ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000","9001-10000","9001-9746","746","8","RE-010811","RE-011556","70.75"
