"FileName","FullPath","SizeKB","Reason"
"222QM3JZ__Diapositiva710.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\222QM3JZ__Diapositiva710.JPG","143.6","Could not parse NFT number from filename"
"228FKVZI__Diapositiva149.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\228FKVZI__Diapositiva149.JPG","63.1","Could not parse NFT number from filename"
"22MLLGB5__Diapositiva947.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\22MLLGB5__Diapositiva947.JPG","73.6","Could not parse NFT number from filename"
"22N76YQ7__Diapositiva268.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\22N76YQ7__Diapositiva268.JPG","65.5","Could not parse NFT number from filename"
"22WAH56J__Diapositiva735.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\22WAH56J__Diapositiva735.JPG","126.5","Could not parse NFT number from filename"
"24DJAICF__Diapositiva527.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\24DJAICF__Diapositiva527.JPG","154.5","Could not parse NFT number from filename"
"25SVPA22__Diapositiva804.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\25SVPA22__Diapositiva804.JPG","54","Could not parse NFT number from filename"
"2627SQ8L__Diapositiva970.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2627SQ8L__Diapositiva970.JPG","117.8","Could not parse NFT number from filename"
"26RGNEBS__Diapositiva760.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\26RGNEBS__Diapositiva760.JPG","60.8","Could not parse NFT number from filename"
"275ZR5BT__Diapositiva307.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\275ZR5BT__Diapositiva307.JPG","43.3","Could not parse NFT number from filename"
"27BX3DU7__Diapositiva686.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\27BX3DU7__Diapositiva686.JPG","150.8","Could not parse NFT number from filename"
"287NPL3F__Diapositiva849.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\287NPL3F__Diapositiva849.JPG","119.6","Could not parse NFT number from filename"
"295CBCQ8__Diapositiva108.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\295CBCQ8__Diapositiva108.JPG","71.9","Could not parse NFT number from filename"
"29MNDF37__Diapositiva892.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\29MNDF37__Diapositiva892.JPG","100.3","Could not parse NFT number from filename"
"2ADUTAUE__Diapositiva571.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2ADUTAUE__Diapositiva571.JPG","89.9","Could not parse NFT number from filename"
"2AI397GL__Diapositiva579.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2AI397GL__Diapositiva579.JPG","75.4","Could not parse NFT number from filename"
"2ARM5SQS__Diapositiva783.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2ARM5SQS__Diapositiva783.JPG","171.3","Could not parse NFT number from filename"
"2BJZS2VH__Diapositiva228.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2BJZS2VH__Diapositiva228.JPG","107.8","Could not parse NFT number from filename"
"2CGCXDFQ__Diapositiva70.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2CGCXDFQ__Diapositiva70.JPG","141","Could not parse NFT number from filename"
"2CIGGVNE__Diapositiva586.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2CIGGVNE__Diapositiva586.JPG","82.2","Could not parse NFT number from filename"
"2CVAYE4Z__Diapositiva768.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2CVAYE4Z__Diapositiva768.JPG","152.5","Could not parse NFT number from filename"
"2DQWUHGY__Diapositiva203.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2DQWUHGY__Diapositiva203.JPG","53.4","Could not parse NFT number from filename"
"2DVW9IDI__Diapositiva254.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2DVW9IDI__Diapositiva254.JPG","110","Could not parse NFT number from filename"
"2FIR82Y2__Diapositiva763.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2FIR82Y2__Diapositiva763.JPG","106.2","Could not parse NFT number from filename"
"2FWYM2D4__Diapositiva214.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2FWYM2D4__Diapositiva214.JPG","120.9","Could not parse NFT number from filename"
"2G54AW2K__Diapositiva110.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2G54AW2K__Diapositiva110.JPG","124.5","Could not parse NFT number from filename"
"2GA69K42__Diapositiva47.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2GA69K42__Diapositiva47.JPG","142.1","Could not parse NFT number from filename"
